26. Round,,1,X,2,
AC Oulu - PS Kemi,3:0,1.22,6.5,16.03,22.10.2011
Espoo - Viikingit,3:2,8.5,5,1.44,22.10.2011
Hameenlinna - KPV Kokkola,5:2,1.65,3.95,5.5,22.10.2011
HIFK - PK-35 Vantaa,1:0,4.25,3.75,1.85,22.10.2011
KooTeePee - PoPa,3:0,1.42,4.84,7.5,22.10.2011
Lahti - OPS,1:2,2.15,3.6,3.35,22.10.2011
25. Round,,1,X,2,
KPV Kokkola - JIPPO,0:0,4,3.55,2.29,16.10.2011
PoPa - Espoo,1:0,2.1,4,4.2,16.10.2011
PS Kemi - KooTeePee,1:3,3.25,3.5,2.29,16.10.2011
OPS - HIFK,3:0,1.33,5.4,10.9,15.10.2011
PK-35 Vantaa - AC Oulu,0:2,2.54,3.4,3.2,15.10.2011
21. Round,,1,X,2,
Hameenlinna - Lahti,1:3,12,5.5,1.36,15.10.2011
24. Round,,1,X,2,
JIPPO - AC Oulu,1:1,4.71,3.79,1.87,02.10.2011
Lahti - KooTeePee,2:0,1.4,5.01,9,02.10.2011
PK-35 Vantaa - KPV Kokkola,5:0,1.2,8,16,02.10.2011
Hameenlinna - HIFK,0:0,3.23,3.35,2.8,01.10.2011
OPS - PoPa,7:0,1.35,6.12,11.03,01.10.2011
Viikingit - PS Kemi,2:0,1.35,6.01,10,01.10.2011
23. Round,,1,X,2,
Espoo - Hameenlinna,0:0,4.5,3.78,1.87,25.09.2011
HIFK - Lahti,0:2,6.84,4.22,1.55,25.09.2011
KooTeePee - JIPPO,1:0,2.25,3.4,3.75,22.09.2011
PS Kemi - PK-35 Vantaa,3:0,6.3,4.38,1.6,22.09.2011
AC Oulu - OPS,6:2,2.6,3.5,2.75,21.09.2011
PoPa - Viikingit,1:5,6.2,4.53,1.6,21.09.2011
22. Round,,1,X,2,
Lahti - JIPPO,2:1,1.35,5.25,10.55,18.09.2011
Viikingit - AC Oulu,5:2,3.3,3.48,2.65,18.09.2011
Hameenlinna - OPS,0:2,4,3.65,2,17.09.2011
KPV Kokkola - HIFK,1:1,4.09,3.72,2.08,17.09.2011
PK-35 Vantaa - Espoo,1:0,1.13,9,21,17.09.2011
PoPa - PS Kemi,4:2,4.95,3.95,1.9,17.09.2011
21. Round,,1,X,2,
KooTeePee - OPS,1:2,2.65,3.5,2.85,11.09.2011
AC Oulu - Espoo,7:0,1.14,8.5,22,10.09.2011
JIPPO - HIFK,0:0,1.97,3.55,4.5,10.09.2011
PS Kemi - KPV Kokkola,4:0,1.85,4,4.58,10.09.2011
Viikingit - PK-35 Vantaa,0:0,2.75,3.47,2.86,10.09.2011
25. Round,,1,X,2,
Viikingit - Lahti,1:0,3.75,3.76,2.12,31.08.2011
20. Round,,1,X,2,
Espoo - PS Kemi,1:1,3.45,3.6,2.4,28.08.2011
PoPa - JIPPO,0:2,3.92,3.5,2.29,28.08.2011
Hameenlinna - PK-35 Vantaa,0:2,5.15,3.9,1.85,27.08.2011
HIFK - AC Oulu,1:3,5.15,3.84,1.83,27.08.2011
KPV Kokkola - KooTeePee,2:4,6.2,4.38,1.65,27.08.2011
OPS - Viikingit,1:1,2.29,3.8,3.4,25.08.2011
19. Round,,1,X,2,
KooTeePee - Espoo,2:1,1.27,6.3,13,22.08.2011
PoPa - HIFK,1:2,2.23,3.7,3.25,22.08.2011
AC Oulu - Hameenlinna,0:0,1.45,5.15,8.5,21.08.2011
JIPPO - PK-35 Vantaa,1:0,4.75,3.58,2,20.08.2011
PS Kemi - Lahti,1:2,7.5,4.9,1.5,20.08.2011
Viikingit - KPV Kokkola,8:1,1.35,5.6,12,20.08.2011
