27. Round,,1,X,2,
AC Oulu - SJK,0:2,2.59,3.55,2.8,06.10.2012
HIFK - OPS,3:4,3.8,3.72,2.2,06.10.2012
JIPPO - Hameenlinna,0:0,1.82,3.85,5,06.10.2012
PK-35 Vantaa - KooTeePee,2:3,1.8,3.93,5.01,06.10.2012
Rovaniemi - Viikingit,0:1,1.97,3.87,4,06.10.2012
26. Round,,1,X,2,
Hameenlinna - AC Oulu,1:3,3.6,3.66,2.15,30.09.2012
KooTeePee - JIPPO,1:0,2,3.64,4.13,30.09.2012
OPS - PK-35 Vantaa,1:1,2.56,3.56,2.77,30.09.2012
SJK - Rovaniemi,4:2,1.68,4.12,5.77,30.09.2012
Viikingit - HIFK,2:1,2.02,3.83,3.81,30.09.2012
25. Round,,1,X,2,
AC Oulu - KooTeePee,2:2,2.2,3.62,3.97,22.09.2012
Hameenlinna - Viikingit,3:0,3.94,3.75,2.1,22.09.2012
HIFK - PK-35 Vantaa,2:1,4.9,4.19,1.8,22.09.2012
JIPPO - Rovaniemi,1:1,2.95,3.6,2.6,22.09.2012
SJK - OPS,2:3,1.6,4.54,7.17,22.09.2012
24. Round,,1,X,2,
OPS - Hameenlinna,2:1,1.5,4.5,7.5,15.09.2012
PK-35 Vantaa - JIPPO,4:3,1.35,6,13,15.09.2012
Rovaniemi - HIFK,2:3,1.41,5.09,9.65,15.09.2012
Viikingit - AC Oulu,1:1,2.29,3.57,3.2,15.09.2012
KooTeePee - SJK,1:0,3.35,3.5,2.33,13.09.2012
23. Round,,1,X,2,
PK-35 Vantaa - AC Oulu,1:0,1.7,4.26,5,02.09.2012
Hameenlinna - SJK,0:2,6,4.07,1.61,01.09.2012
HIFK - JIPPO,0:0,3,3.64,2.46,01.09.2012
OPS - Rovaniemi,2:0,3.3,3.41,2.45,01.09.2012
Viikingit - KooTeePee,0:3,2.27,3.44,4,01.09.2012
22. Round,,1,X,2,
AC Oulu - OPS,1:0,2.25,3.6,3.5,29.08.2012
Hameenlinna - HIFK,1:0,2.35,3.5,3.3,29.08.2012
JIPPO - Viikingit,0:2,3.2,3.4,2.45,29.08.2012
Rovaniemi - KooTeePee,3:0,1.42,5,9,29.08.2012
SJK - PK-35 Vantaa,3:0,2.25,3.55,3.5,29.08.2012
21. Round,,1,X,2,
OPS - JIPPO,3:0,2.36,3.35,3.5,25.08.2012
PK-35 Vantaa - Rovaniemi,0:1,2.9,3.4,2.54,25.08.2012
Viikingit - SJK,0:1,3.25,3.5,2.58,25.08.2012
HIFK - AC Oulu,1:0,5.11,4.3,1.8,23.08.2012
KooTeePee - Hameenlinna,3:0,1.85,3.63,5.01,23.08.2012
20. Round,,1,X,2,
AC Oulu - JIPPO,2:0,1.7,4.59,5.3,19.08.2012
Hameenlinna - Rovaniemi,0:2,10,4.93,1.45,18.08.2012
KooTeePee - OPS,0:1,2,3.65,4.8,18.08.2012
SJK - HIFK,1:0,1.35,6,12.77,18.08.2012
Viikingit - PK-35 Vantaa,0:4,2.92,3.4,2.9,18.08.2012
19. Round,,1,X,2,
JIPPO - SJK,2:0,3.05,3.54,2.42,11.08.2012
OPS - Viikingit,0:1,3.54,3.7,2.2,11.08.2012
Rovaniemi - AC Oulu,3:2,1.65,4.5,7,11.08.2012
HIFK - KooTeePee,1:2,3.63,3.5,2.15,09.08.2012
PK-35 Vantaa - Hameenlinna,3:0,1.55,4.45,7.5,09.08.2012
18. Round,,1,X,2,
KooTeePee - PK-35 Vantaa,1:0,3.6,3.5,2.36,06.08.2012
Hameenlinna - JIPPO,1:1,2.71,3.3,2.85,04.08.2012
SJK - AC Oulu,2:2,2.1,3.63,4,04.08.2012
Viikingit - Rovaniemi,1:3,4,3.51,2.15,04.08.2012
OPS - HIFK,1:1,1.65,4.16,6.2,02.08.2012
17. Round,,1,X,2,
AC Oulu - Hameenlinna,0:0,1.59,4.36,6.5,31.07.2012
JIPPO - KooTeePee,1:0,2.02,3.6,4.25,30.07.2012
HIFK - Viikingit,1:1,6.15,4.51,1.55,28.07.2012
PK-35 Vantaa - OPS,3:0,1.55,4.7,6.67,28.07.2012
Rovaniemi - SJK,2:0,1.65,4.22,6.17,28.07.2012
1. Round,,1,X,2,
OPS - Viikingit,1:2,2.49,3.67,2.95,24.07.2012
16. Round,,1,X,2,
PK-35 Vantaa - HIFK,5:1,1.27,6.49,14.51,22.07.2012
Rovaniemi - JIPPO,1:1,1.22,6.5,15,21.07.2012
Viikingit - Hameenlinna,0:2,1.6,4.37,7,21.07.2012
OPS - SJK,1:1,3.14,3.5,2.4,20.07.2012
KooTeePee - AC Oulu,0:1,3.22,3.49,2.38,19.07.2012
15. Round,,1,X,2,
AC Oulu - Viikingit,3:3,1.76,4.15,4.75,14.07.2012
Hameenlinna - OPS,0:0,3.3,3.4,2.37,14.07.2012
HIFK - Rovaniemi,1:4,9.55,5.19,1.41,14.07.2012
SJK - KooTeePee,0:0,1.61,4.34,6.5,14.07.2012
JIPPO - PK-35 Vantaa,3:1,3.2,3.69,2.38,13.07.2012
14. Round,,1,X,2,
AC Oulu - PK-35 Vantaa,2:1,2.42,3.4,3.4,07.07.2012
JIPPO - HIFK,5:2,1.62,4.2,6.12,07.07.2012
KooTeePee - Viikingit,0:4,2.4,3.6,3.1,07.07.2012
Rovaniemi - OPS,3:0,1.45,4.59,9.25,07.07.2012
SJK - Hameenlinna,1:1,1.34,5.5,11,07.07.2012
13. Round,,1,X,2,
HIFK - Hameenlinna,0:2,2.25,3.78,3.5,04.07.2012
KooTeePee - Rovaniemi,0:3,4.25,3.71,2.09,04.07.2012
OPS - AC Oulu,1:1,3.4,3.83,2.2,04.07.2012
PK-35 Vantaa - SJK,2:0,2.29,3.61,3.6,04.07.2012
Viikingit - JIPPO,1:0,1.9,4.3,4.33,04.07.2012
12. Round,,1,X,2,
AC Oulu - HIFK,3:1,1.38,5.2,9,30.06.2012
Hameenlinna - KooTeePee,1:1,3.53,3.55,2.29,30.06.2012
JIPPO - OPS,3:1,3,3.38,2.59,30.06.2012
Rovaniemi - PK-35 Vantaa,1:1,1.7,3.79,5.86,30.06.2012
SJK - Viikingit,3:1,1.82,4.2,4.59,30.06.2012
11. Round,,1,X,2,
HIFK - SJK,0:4,5.5,4.01,1.72,26.06.2012
JIPPO - AC Oulu,2:3,3.73,3.5,2.25,25.06.2012
OPS - KooTeePee,0:3,1.86,3.75,4.8,25.06.2012
PK-35 Vantaa - Viikingit,0:4,1.83,3.8,5.35,25.06.2012
Rovaniemi - Hameenlinna,3:0,1.17,7,26,25.06.2012
10. Round,,1,X,2,
AC Oulu - Rovaniemi,0:0,3.31,3.6,2.25,20.06.2012
Hameenlinna - PK-35 Vantaa,1:2,7.72,4.88,1.5,20.06.2012
KooTeePee - HIFK,0:2,1.7,4.17,6,20.06.2012
SJK - JIPPO,3:1,1.57,4.34,7.5,20.06.2012
Viikingit - OPS,3:0,2.8,3.43,2.69,20.06.2012
9. Round,,1,X,2,
HIFK - OPS,1:1,4.71,3.98,1.85,17.06.2012
Rovaniemi - Viikingit,2:0,1.42,5.23,7.5,17.06.2012
AC Oulu - SJK,3:1,2.49,3.43,3.1,16.06.2012
JIPPO - Hameenlinna,3:1,2.16,3.5,3.8,16.06.2012
PK-35 Vantaa - KooTeePee,2:1,1.55,4.33,6.6,16.06.2012
8. Round,,1,X,2,
Rovaniemi - JIPPO,4:0,1.34,6,10.76,09.06.2012
KooTeePee - JIPPO,3:0 AWA.,1.81,3.76,5.25,04.06.2012
Hameenlinna - AC Oulu,1:0,6.5,4.57,1.6,03.06.2012
OPS - PK-35 Vantaa,1:0,2.95,3.5,2.6,03.06.2012
SJK - Rovaniemi,1:3,3,3.35,2.54,03.06.2012
7. Round,,1,X,2,
Viikingit - HIFK,2:1,1.97,3.9,4.4,03.06.2012
AC Oulu - KooTeePee,4:1,1.81,3.8,4.83,30.05.2012
HIFK - PK-35 Vantaa,0:0,8.26,4.84,1.46,30.05.2012
SJK - OPS,0:2,1.82,3.87,5.05,30.05.2012
Viikingit - Hameenlinna,2:1,1.65,4.22,6.07,30.05.2012
6. Round,,1,X,2,
AC Oulu - Viikingit,0:3 AWA.,1.87,3.98,4.55,27.05.2012
PK-35 Vantaa - JIPPO,5:1,1.4,4.7,10.3,27.05.2012
OPS - Hameenlinna,4:0,1.59,4.13,6.5,26.05.2012
Rovaniemi - HIFK,3:1,1.3,6,17,26.05.2012
KooTeePee - SJK,0:1,2.88,3.58,2.97,24.05.2012
5. Round,,1,X,2,
Hameenlinna - SJK,0:2,6.5,5.05,1.49,21.05.2012
OPS - Rovaniemi,0:1,3.2,3.71,2.29,21.05.2012
PK-35 Vantaa - AC Oulu,2:0,1.75,3.95,5,21.05.2012
Viikingit - KooTeePee,1:0,2.42,3.46,3.13,21.05.2012
JIPPO - HIFK,1:0,2.44,3.4,3.12,20.05.2012
4. Round,,1,X,2,
Rovaniemi - KooTeePee,3:1,1.75,4.15,5.4,17.05.2012
SJK - PK-35 Vantaa,2:1,2.63,3.39,2.84,17.05.2012
AC Oulu - OPS,2:2,2.25,3.6,3.4,16.05.2012
Hameenlinna - HIFK,1:3,2.45,3.4,3.3,16.05.2012
JIPPO - Viikingit,0:1,2.63,3.4,3,16.05.2012
3. Round,,1,X,2,
KooTeePee - Hameenlinna,0:0,1.63,4.07,6.25,13.05.2012
OPS - JIPPO,2:1,1.72,3.89,6.22,12.05.2012
PK-35 Vantaa - Rovaniemi,0:0,2.12,3.55,4,12.05.2012
Viikingit - SJK,0:2,3.29,3.57,2.25,12.05.2012
HIFK - AC Oulu,2:2,5.05,3.95,1.75,10.05.2012
2. Round,,1,X,2,
Viikingit - PK-35 Vantaa,0:4,3.8,3.55,2.19,07.05.2012
