38. Round,,1,X,2,
Arsenal - Aston Villa,1:0,1.3,4.7,8,16.05.1999
Charlton - Sheffield Wed,0:1,1.65,3.6,4,16.05.1999
Chelsea - Derby,2:1,1.5,3.5,6,16.05.1999
Coventry - Leeds,2:2,3,2.9,2.4,16.05.1999
Liverpool - Wimbledon FC,3:0,1.55,3.3,5.8,16.05.1999
Manchester United - Tottenham,2:1,1.2,5.09,9.19,16.05.1999
Newcastle Utd - Blackburn,1:1,1.65,3.5,4.2,16.05.1999
Nottingham - Leicester,1:0,2.5,3,2.6,16.05.1999
Southampton - Everton,2:0,1.46,3.3,6,16.05.1999
West Ham - Middlesbrough,4:0,2,3,3.5,16.05.1999
33. Round,,1,X,2,
Blackburn - Manchester United,0:0,7.8,4.4,1.35,12.05.1999
37. Round,,1,X,2,
Leeds - Arsenal,1:0,3.35,3.35,1.85,11.05.1999
Tottenham - Chelsea,2:2,3.8,3.2,1.85,10.05.1999
Middlesbrough - Manchester United,0:1,4.59,3.4,1.6,09.05.1999
Aston Villa - Charlton,3:4,1.8,3.5,3.5,08.05.1999
Blackburn - Nottingham,1:2,1.35,4.5,7.5,08.05.1999
Derby - Coventry,0:0,1.85,3,4.09,08.05.1999
Everton - West Ham,6:0,2.2,3.1,3.1,08.05.1999
Leicester - Newcastle Utd,2:0,2.2,2.9,3.6,08.05.1999
Sheffield Wed - Liverpool,1:0,2.75,2.75,2.75,08.05.1999
Wimbledon FC - Southampton,0:2,2.54,3.15,2.35,08.05.1999
33. Round,,1,X,2,
Tottenham - Arsenal,1:3,4.09,3.25,1.8,05.05.1999
32. Round,,1,X,2,
Chelsea - Leeds,1:0,1.8,3.3,4,05.05.1999
28. Round,,1,X,2,
Liverpool - Manchester United,2:2,3.75,3.1,1.95,05.05.1999
25. Round,,1,X,2,
Leicester - Derby,1:2,2.2,2.9,3.5,05.05.1999
36. Round,,1,X,2,
Arsenal - Derby,1:0,1.25,5,8.8,02.05.1999
Charlton - Blackburn,0:0,2.29,2.9,3.2,01.05.1999
Chelsea - Everton,3:1,1.4,4,7,01.05.1999
Coventry - Wimbledon FC,2:1,1.9,3.1,4,01.05.1999
Liverpool - Tottenham,3:2,1.85,3.1,4.2,01.05.1999
Manchester United - Aston Villa,2:1,1.35,4.3,7.5,01.05.1999
Newcastle Utd - Middlesbrough,1:1,2.1,3,3.6,01.05.1999
Nottingham - Sheffield Wed,2:0,3,3,2.2,01.05.1999
Southampton - Leicester,2:1,1.8,3.15,4.2,01.05.1999
West Ham - Leeds,1:5,2.45,2.9,2.9,01.05.1999
35. Round,,1,X,2,
Leeds - Manchester United,1:1,2.75,2.85,2.5,25.04.1999
Sheffield Wed - Chelsea,0:0,3.7,3.1,1.9,25.04.1999
Aston Villa - Nottingham,2:0,1.4,4,7,24.04.1999
Blackburn - Liverpool,1:3,2.2,2.95,3.3,24.04.1999
Derby - Southampton,0:0,1.8,3.15,4.25,24.04.1999
Everton - Charlton,4:1,1.85,3.15,4.2,24.04.1999
Leicester - Coventry,1:0,1.95,3.1,3.9,24.04.1999
Middlesbrough - Arsenal,1:6,3.5,3.2,2,24.04.1999
Tottenham - West Ham,1:2,2.35,2.95,3,24.04.1999
Wimbledon FC - Newcastle Utd,1:1,2.29,3,3,24.04.1999
33. Round,,1,X,2,
Sheffield Wed - Newcastle Utd,1:1,2.35,2.9,3.1,21.04.1999
30. Round,,1,X,2,
Liverpool - Leicester,0:1,1.75,3,4.8,21.04.1999
Charlton - Tottenham,1:4,2.45,3,2.75,20.04.1999
34. Round,,1,X,2,
Arsenal - Wimbledon FC,5:1,1.35,4.09,7,19.04.1999
Chelsea - Leicester,2:2,1.4,4,7,18.04.1999
Charlton - Leeds,1:1,3.7,3,2,17.04.1999
Coventry - Middlesbrough,1:2,2.25,2.95,3.35,17.04.1999
Liverpool - Aston Villa,0:1,1.85,3.15,4.4,17.04.1999
Manchester United - Sheffield Wed,3:0,1.3,4.5,8.5,17.04.1999
Newcastle Utd - Everton,1:3,1.8,3.15,4.59,17.04.1999
Nottingham - Tottenham,0:1,3.5,3,2.1,17.04.1999
Southampton - Blackburn,3:3,2.15,3,3.4,17.04.1999
West Ham - Derby,5:1,2.04,3,3.7,17.04.1999
28. Round,,1,X,2,
Middlesbrough - Chelsea,0:0,3.2,3,2,14.04.1999
33. Round,,1,X,2,
Leeds - Liverpool,0:0,1.85,3.1,4.2,12.04.1999
Everton - Coventry,2:0,2.1,3,3.6,11.04.1999
Wimbledon FC - Chelsea,1:2,3.9,2.95,1.9,11.04.1999
Aston Villa - Southampton,3:0,1.7,3.3,4.59,10.04.1999
Derby - Nottingham,1:0,1.55,3.4,6.5,10.04.1999
Leicester - West Ham,0:0,2.29,2.95,3.3,10.04.1999
Middlesbrough - Charlton,2:0,1.75,3.25,4.8,10.04.1999
32. Round,,1,X,2,
Arsenal - Blackburn,1:0,1.4,4,7.5,06.04.1999
Leicester - Aston Villa,2:2,2.4,2.9,3,06.04.1999
Coventry - Southampton,1:0,1.85,3.15,4.5,05.04.1999
Everton - Sheffield Wed,1:2,2.1,2.95,3.7,05.04.1999
Middlesbrough - Wimbledon FC,3:1,2,3,3.8,05.04.1999
Newcastle Utd - Tottenham,1:1,2,3,3.7,05.04.1999
Nottingham - Liverpool,2:2,4.84,3.25,1.75,05.04.1999
West Ham - Charlton,0:1,1.6,3.3,5.25,05.04.1999
31. Round,,1,X,2,
Blackburn - Middlesbrough,0:0,2,3,3.7,03.04.1999
Charlton - Chelsea,0:1,5,3.15,1.75,03.04.1999
Derby - Newcastle Utd,3:4,2,2.95,3.8,03.04.1999
Leeds - Nottingham,3:1,1.32,4.5,8,03.04.1999
Liverpool - Everton,3:2,1.75,3.2,4.84,03.04.1999
Sheffield Wed - Coventry,1:2,1.85,3.15,4.25,03.04.1999
Southampton - Arsenal,0:0,4.8,3.2,1.7,03.04.1999
Tottenham - Leicester,0:2,1.8,3.15,4.5,03.04.1999
Wimbledon FC - Manchester United,1:1,4,3,1.9,03.04.1999
Aston Villa - West Ham,0:0,2.29,2.95,3.3,02.04.1999
30. Round,,1,X,2,
Aston Villa - Chelsea,0:3,2.9,2.85,2.45,21.03.1999
Manchester United - Everton,3:1,1.25,5,9,21.03.1999
Arsenal - Coventry,2:0,1.31,4.59,8,20.03.1999
Blackburn - Wimbledon FC,3:1,2.15,2.95,3.4,20.03.1999
Leeds - Derby,4:1,1.7,3.15,4.84,20.03.1999
Nottingham - Middlesbrough,1:2,2.65,2.9,2.75,20.03.1999
Southampton - Sheffield Wed,1:0,2.4,2.9,3,20.03.1999
West Ham - Newcastle Utd,2:0,2,2.95,3.8,20.03.1999
29. Round,,1,X,2,
Middlesbrough - Southampton,3:0,1.85,3.05,4.3,14.03.1999
Chelsea - West Ham,0:1,1.5,3.4,6,13.03.1999
Coventry - Blackburn,1:1,1.95,3,3.9,13.03.1999
Derby - Liverpool,3:2,2.5,2.8,2.95,13.03.1999
Everton - Arsenal,0:2,3.8,2.9,2,13.03.1999
Leicester - Charlton,1:1,1.8,3.1,4.5,13.03.1999
Newcastle Utd - Manchester United,1:2,3.3,2.9,2.2,13.03.1999
Sheffield Wed - Leeds,0:2,2.65,2.8,2.8,13.03.1999
Tottenham - Aston Villa,1:0,2.29,2.9,3.2,13.03.1999
Wimbledon FC - Nottingham,1:3,1.55,3.4,5.8,13.03.1999
28. Round,,1,X,2,
Blackburn - Everton,1:2,1.9,3.1,4.09,10.03.1999
Derby - Aston Villa,2:1,2.4,2.85,3,10.03.1999
Leeds - Tottenham,2:0,1.9,3.1,4.4,10.03.1999
Nottingham - Newcastle Utd,1:2,3.3,2.9,2.29,10.03.1999
Arsenal - Sheffield Wed,3:0,1.45,4,7.25,09.03.1999
Coventry - Charlton,2:1,1.85,3.1,4.09,06.03.1999
Southampton - West Ham,1:0,2.5,2.9,2.85,06.03.1999
Wimbledon FC - Leicester,0:1,1.9,3,4,06.03.1999
25. Round,,1,X,2,
Sheffield Wed - Wimbledon FC,1:2,1.95,3,3.9,03.03.1999
Tottenham - Southampton,3:0,1.75,3.3,5,02.03.1999
27. Round,,1,X,2,
Leicester - Leeds,1:2,2.7,2.75,2.85,01.03.1999
Newcastle Utd - Arsenal,1:1,2.9,2.8,2.4,28.02.1999
Aston Villa - Coventry,1:4,1.5,3.6,6.5,27.02.1999
Charlton - Nottingham,0:0,1.7,3.3,5,27.02.1999
Chelsea - Liverpool,2:1,1.75,3.2,4.8,27.02.1999
Everton - Wimbledon FC,1:1,2.29,2.9,3.2,27.02.1999
Manchester United - Southampton,2:1,1.25,5.5,9.99,27.02.1999
Sheffield Wed - Middlesbrough,3:1,1.95,3,3.9,27.02.1999
Tottenham - Derby,1:1,2,3,3.6,27.02.1999
West Ham - Blackburn,2:0,1.9,3,4,27.02.1999
26. Round,,1,X,2,
Wimbledon FC - Aston Villa,0:0,2.8,2.95,2.95,21.02.1999
Arsenal - Leicester,5:0,1.4,4,7,20.02.1999
Blackburn - Sheffield Wed,1:4,1.92,3.1,4.09,20.02.1999
Coventry - Manchester United,0:1,4.5,3.3,1.7,20.02.1999
Derby - Charlton,0:2,1.6,3.4,5.6,20.02.1999
Leeds - Everton,1:0,1.65,3.4,5,20.02.1999
Liverpool - West Ham,2:2,1.5,3.5,6.75,20.02.1999
Middlesbrough - Tottenham,0:0,2.29,2.9,3.3,20.02.1999
Nottingham - Chelsea,1:3,5.6,3.4,1.6,20.02.1999
Southampton - Newcastle Utd,2:1,2.65,2.85,2.65,20.02.1999
25. Round,,1,X,2,
Aston Villa - Leeds,1:2,1.8,3.15,4.25,17.02.1999
Chelsea - Blackburn,1:1,1.47,3.7,6.7,17.02.1999
Everton - Middlesbrough,5:0,2.4,2.9,3,17.02.1999
Manchester United - Arsenal,1:1,1.75,3.2,4.8,17.02.1999
Newcastle Utd - Coventry,4:1,1.75,3.2,4.8,17.02.1999
Charlton - Liverpool,1:0,4.7,3.3,1.73,13.02.1999
West Ham - Nottingham,2:1,1.55,3.3,6,13.02.1999
24. Round,,1,X,2,
Charlton - Wimbledon FC,2:0,2.8,3,2.45,08.02.1999
Derby - Everton,2:1,1.75,3.2,4.59,07.02.1999
Aston Villa - Blackburn,1:3,1.45,3.6,6.2,06.02.1999
Chelsea - Southampton,1:0,1.27,4.8,9,06.02.1999
Leeds - Newcastle Utd,0:1,1.7,3.25,4.8,06.02.1999
Leicester - Sheffield Wed,0:2,2,2.9,3.9,06.02.1999
Liverpool - Middlesbrough,3:1,1.57,3.3,5.8,06.02.1999
Nottingham - Manchester United,1:8,6,3.5,1.5,06.02.1999
Tottenham - Coventry,0:0,1.7,3.25,4.8,06.02.1999
West Ham - Arsenal,0:4,3.15,2.7,2.4,06.02.1999
32. Round,,1,X,2,
Manchester United - Derby,1:0,1.4,4.09,8,03.02.1999
23. Round,,1,X,2,
Arsenal - Chelsea,1:0,2.5,2.7,3,31.01.1999
Charlton - Manchester United,0:1,6.3,3.3,1.5,31.01.1999
Blackburn - Tottenham,1:1,2.15,2.85,3.5,30.01.1999
Coventry - Liverpool,2:1,3.6,2.95,2.04,30.01.1999
Everton - Nottingham,0:1,1.67,3.15,5.5,30.01.1999
Middlesbrough - Leicester,0:0,1.8,3.1,4.5,30.01.1999
Newcastle Utd - Aston Villa,2:1,2.85,2.7,2.75,30.01.1999
Sheffield Wed - Derby,0:1,2.2,2.85,3.25,30.01.1999
Southampton - Leeds,3:0,3.3,2.85,2.25,30.01.1999
Wimbledon FC - West Ham,0:0,2.1,2.9,3.5,30.01.1999
22. Round,,1,X,2,
Aston Villa - Everton,3:0,1.5,3.4,6.7,18.01.1999
Charlton - Newcastle Utd,2:2,2.9,2.7,2.7,17.01.1999
Chelsea - Coventry,2:1,1.3,4.4,8,16.01.1999
Derby - Blackburn,1:0,2,3,3.9,16.01.1999
Leeds - Middlesbrough,2:0,1.85,3.05,4.3,16.01.1999
Leicester - Manchester United,2:6,3.45,2.95,2.2,16.01.1999
Liverpool - Southampton,7:1,1.33,4.25,7.8,16.01.1999
Nottingham - Arsenal,0:1,4.4,3,1.8,16.01.1999
Tottenham - Wimbledon FC,0:0,2.04,2.95,3.75,16.01.1999
West Ham - Sheffield Wed,0:4,1.8,3.15,4.5,16.01.1999
21. Round,,1,X,2,
