38. Round,,1,X,2,
Chelsea - Everton,2:1,1.83,4,5.6,19.05.2013
Liverpool - QPR,1:0,1.29,7,13.98,19.05.2013
Manchester City - Norwich,2:3,1.3,7,13,19.05.2013
Newcastle Utd - Arsenal,0:1,6.5,4.7,1.59,19.05.2013
Southampton - Stoke City,1:1,1.73,3.9,5.96,19.05.2013
Swansea - Fulham,0:3,1.75,4.2,5.76,19.05.2013
Tottenham - Sunderland,1:0,1.3,6.6,15,19.05.2013
West Brom - Manchester United,5:5,4.33,3.75,2.17,19.05.2013
West Ham - Reading,4:2,1.7,4.36,6.25,19.05.2013
Wigan - Aston Villa,2:2,2.2,3.75,3.85,19.05.2013
37. Round,,1,X,2,
Arsenal - Wigan,4:1,1.4,5.75,8.5,14.05.2013
Reading - Manchester City,0:2,7.25,4.8,1.57,14.05.2013
Everton - West Ham,2:0,1.55,4.5,7.92,12.05.2013
Fulham - Liverpool,1:3,4.2,3.65,2.17,12.05.2013
Manchester United - Swansea,2:1,1.36,5.5,10.19,12.05.2013
Norwich - West Brom,4:0,2.5,3.5,3.4,12.05.2013
QPR - Newcastle Utd,1:2,3.3,3.69,2.5,12.05.2013
Stoke City - Tottenham,1:2,4.95,3.75,1.85,12.05.2013
Sunderland - Southampton,1:1,3.47,3.25,2.8,12.05.2013
Aston Villa - Chelsea,1:2,5.8,4.33,1.8,11.05.2013
33. Round,,1,X,2,
Chelsea - Tottenham,2:2,1.85,3.9,4.63,08.05.2013
Manchester City - West Brom,1:0,1.42,5.05,9.5,07.05.2013
Wigan - Swansea,2:3,1.83,3.9,4.8,07.05.2013
36. Round,,1,X,2,
Sunderland - Stoke City,1:1,2.39,3.3,3.85,06.05.2013
Liverpool - Everton,0:0,2,3.75,4.25,05.05.2013
Manchester United - Chelsea,0:1,2.4,3.7,3.2,05.05.2013
Fulham - Reading,2:4,1.73,3.95,5.96,04.05.2013
Norwich - Aston Villa,1:2,2.62,3.3,3.18,04.05.2013
QPR - Arsenal,0:1,9.5,5.45,1.4,04.05.2013
Swansea - Manchester City,0:0,5.09,3.9,1.84,04.05.2013
Tottenham - Southampton,1:0,1.55,4.59,7.32,04.05.2013
West Brom - Wigan,2:3,2.38,3.53,3.2,04.05.2013
West Ham - Newcastle Utd,0:0,2.29,3.53,3.5,04.05.2013
35. Round,,1,X,2,
Aston Villa - Sunderland,6:1,2.29,3.4,3.71,29.04.2013
Arsenal - Manchester United,1:1,2.35,3.7,3.5,28.04.2013
Chelsea - Swansea,2:0,1.43,5.5,10.3,28.04.2013
Reading - QPR,0:0,2.5,3.6,3,28.04.2013
Everton - Fulham,1:0,1.55,4.55,7.8,27.04.2013
Manchester City - West Ham,2:1,1.29,6.5,15.52,27.04.2013
Newcastle Utd - Liverpool,0:6,3.26,3.5,2.41,27.04.2013
Southampton - West Brom,0:3,1.8,3.9,5.25,27.04.2013
Stoke City - Norwich,1:0,2.15,3.25,4.21,27.04.2013
Wigan - Tottenham,2:2,3.6,3.6,2.38,27.04.2013
34. Round,,1,X,2,
Manchester United - Aston Villa,3:0,1.29,7,14,22.04.2013
Liverpool - Chelsea,2:2,2.25,3.75,3.65,21.04.2013
Tottenham - Manchester City,3:1,2.9,3.4,2.8,21.04.2013
Fulham - Arsenal,0:1,6.5,4.38,1.7,20.04.2013
Norwich - Reading,2:1,1.82,3.8,5.33,20.04.2013
QPR - Stoke City,0:2,2.21,3.3,4.09,20.04.2013
Sunderland - Everton,1:0,3.51,3.4,2.38,20.04.2013
Swansea - Southampton,0:0,2.29,3.41,3.5,20.04.2013
West Brom - Newcastle Utd,1:1,2.47,3.5,3.15,20.04.2013
West Ham - Wigan,2:0,2.5,3.5,3.25,20.04.2013
29. Round,,1,X,2,
Fulham - Chelsea,0:3,5.61,4,1.85,17.04.2013
Manchester City - Wigan,1:0,1.33,6.25,13,17.04.2013
West Ham - Manchester United,2:2,5.75,3.85,1.8,17.04.2013
Arsenal - Everton,0:0,1.8,4.05,5.6,16.04.2013
33. Round,,1,X,2,
Newcastle Utd - Sunderland,0:3,1.91,3.6,5.14,14.04.2013
Stoke City - Manchester United,0:2,7.25,4.03,1.65,14.04.2013
Arsenal - Norwich,3:1,1.3,6.5,14,13.04.2013
Aston Villa - Fulham,1:1,2.4,3.43,3.52,13.04.2013
Everton - QPR,2:0,1.53,4.59,8.36,13.04.2013
Reading - Liverpool,0:0,8,5,1.5,13.04.2013
Southampton - West Ham,1:1,1.85,3.9,5.05,13.04.2013
32. Round,,1,X,2,
Manchester United - Manchester City,1:2,2.5,3.4,3.2,08.04.2013
Chelsea - Sunderland,2:1,1.33,6.5,13,07.04.2013
Liverpool - West Ham,0:0,1.35,6,12,07.04.2013
Newcastle Utd - Fulham,1:0,1.95,3.75,4.51,07.04.2013
QPR - Wigan,1:1,2.45,3.5,3.15,07.04.2013
Tottenham - Everton,2:2,2.29,3.4,3.87,07.04.2013
Norwich - Swansea,2:2,2.7,3.4,3.06,06.04.2013
Reading - Southampton,0:2,3.77,3.6,2.25,06.04.2013
Stoke City - Aston Villa,1:3,2.2,3.4,4,06.04.2013
West Brom - Arsenal,1:2,5.08,4.01,1.91,06.04.2013
31. Round,,1,X,2,
Fulham - QPR,3:2,2.15,3.6,3.9,01.04.2013
Aston Villa - Liverpool,1:2,5.69,4.43,1.8,31.03.2013
Arsenal - Reading,4:1,1.29,6.7,14,30.03.2013
Everton - Stoke City,1:0,1.76,3.7,6,30.03.2013
Manchester City - Newcastle Utd,4:0,1.33,5.8,12.5,30.03.2013
Southampton - Chelsea,2:1,3.3,3.5,2.52,30.03.2013
Sunderland - Manchester United,0:1,6.45,3.9,1.7,30.03.2013
Swansea - Tottenham,1:2,3.2,3.45,2.45,30.03.2013
West Ham - West Brom,3:1,2.25,3.5,3.75,30.03.2013
Wigan - Norwich,1:0,1.95,3.8,5.55,30.03.2013
30. Round,,1,X,2,
Chelsea - West Ham,2:0,1.4,5.5,9.33,17.03.2013
Sunderland - Norwich,1:1,2.1,3.47,4.33,17.03.2013
Tottenham - Fulham,0:1,1.57,4.45,7.3,17.03.2013
Wigan - Newcastle Utd,2:1,2.29,3.6,3.5,17.03.2013
Aston Villa - QPR,3:2,2.5,3.4,3.31,16.03.2013
Everton - Manchester City,2:0,3.75,3.55,2.29,16.03.2013
Manchester United - Reading,1:0,1.17,10,23,16.03.2013
Southampton - Liverpool,3:1,4,3.8,2.04,16.03.2013
Stoke City - West Brom,0:0,2.9,3.3,3,16.03.2013
Swansea - Arsenal,0:2,3.5,3.6,2.25,16.03.2013
29. Round,,1,X,2,
Liverpool - Tottenham,3:2,1.95,4.11,4.2,10.03.2013
Newcastle Utd - Stoke City,2:1,1.9,3.7,5.74,10.03.2013
Norwich - Southampton,0:0,2.82,3.35,3,09.03.2013
QPR - Sunderland,3:1,2.29,3.4,3.66,09.03.2013
Reading - Aston Villa,1:2,2.63,3.43,3.1,09.03.2013
West Brom - Swansea,2:1,2.45,3.5,3.5,09.03.2013
28. Round,,1,X,2,
Aston Villa - Manchester City,0:1,8.19,5.05,1.55,04.03.2013
Tottenham - Arsenal,2:1,2.46,3.6,3.2,03.03.2013
Chelsea - West Brom,1:0,1.44,5.5,10.31,02.03.2013
Everton - Reading,3:1,1.45,5.5,11,02.03.2013
Manchester United - Norwich,4:0,1.36,6.64,15.5,02.03.2013
Southampton - QPR,1:2,1.85,4.01,5.6,02.03.2013
Stoke City - West Ham,0:1,2.5,3.25,3.4,02.03.2013
Sunderland - Fulham,2:2,2.4,3.4,3.62,02.03.2013
Swansea - Newcastle Utd,1:0,2.15,3.65,3.9,02.03.2013
Wigan - Liverpool,0:4,4.84,4,1.85,02.03.2013
27. Round,,1,X,2,
West Ham - Tottenham,2:3,3.72,3.45,2.25,25.02.2013
Manchester City - Chelsea,2:0,2.15,3.7,3.9,24.02.2013
Newcastle Utd - Southampton,4:2,2.31,3.5,3.75,24.02.2013
Arsenal - Aston Villa,2:1,1.36,6.08,11.32,23.02.2013
Fulham - Stoke City,1:0,2.2,3.4,4.04,23.02.2013
Norwich - Everton,2:1,3.61,3.4,2.29,23.02.2013
QPR - Manchester United,0:2,7,4.63,1.57,23.02.2013
Reading - Wigan,0:3,2.64,3.4,2.93,23.02.2013
West Brom - Sunderland,2:1,2,3.7,5.01,23.02.2013
Liverpool - Swansea,5:0,1.65,5.25,9.27,17.02.2013
26. Round,,1,X,2,
Liverpool - West Brom,0:2,1.45,5.05,9.15,11.02.2013
Aston Villa - West Ham,2:1,3.02,3.4,2.8,10.02.2013
Manchester United - Everton,2:0,1.8,4,5.25,10.02.2013
Chelsea - Wigan,4:1,1.39,5.5,10,09.02.2013
Norwich - Fulham,0:0,2.45,3.4,3.62,09.02.2013
Southampton - Manchester City,3:1,5.5,4.2,1.7,09.02.2013
Stoke City - Reading,2:1,1.95,3.55,4.84,09.02.2013
Sunderland - Arsenal,0:1,4.55,3.75,1.95,09.02.2013
Swansea - QPR,4:1,1.91,3.84,5.65,09.02.2013
Tottenham - Newcastle Utd,2:1,1.73,4.09,6.14,09.02.2013
25. Round,,1,X,2,
Manchester City - Liverpool,2:2,1.88,3.8,4.65,03.02.2013
West Brom - Tottenham,0:1,3.75,3.5,2.22,03.02.2013
Arsenal - Stoke City,1:0,1.47,5,10,02.02.2013
Everton - Aston Villa,3:3,1.45,5.11,10.15,02.02.2013
Fulham - Manchester United,0:1,7.2,4.59,1.63,02.02.2013
Newcastle Utd - Chelsea,3:2,4.33,3.65,2,02.02.2013
QPR - Norwich,0:0,2.46,3.35,3.7,02.02.2013
Reading - Sunderland,2:1,2.54,3.4,3.18,02.02.2013
West Ham - Swansea,1:0,2.5,3.4,3.13,02.02.2013
Wigan - Southampton,2:2,2.29,3.5,3.6,02.02.2013
24. Round,,1,X,2,
Arsenal - Liverpool,2:2,2.25,3.6,3.75,30.01.2013
Everton - West Brom,2:1,1.65,4.33,6.75,30.01.2013
Fulham - West Ham,3:1,2.6,3.4,3.3,30.01.2013
Manchester United - Southampton,2:1,1.29,7,15,30.01.2013
Norwich - Tottenham,1:1,4.8,3.75,1.96,30.01.2013
Reading - Chelsea,2:2,6.5,4.33,1.62,30.01.2013
Aston Villa - Newcastle Utd,1:2,2.9,3.4,2.8,29.01.2013
QPR - Manchester City,0:0,8,4.75,1.5,29.01.2013
Stoke City - Wigan,2:2,2.38,3.3,3.75,29.01.2013
Sunderland - Swansea,0:0,2.63,3.34,3.05,29.01.2013
19. Round,,1,X,2,
Arsenal - West Ham,5:1,1.53,4.95,8,23.01.2013
23. Round,,1,X,2,
Southampton - Everton,0:0,4,3.5,2.15,21.01.2013
Chelsea - Arsenal,2:1,2.04,3.8,4,20.01.2013
Tottenham - Manchester United,1:1,3.13,3.6,2.5,20.01.2013
Liverpool - Norwich,5:0,1.36,5.55,10.7,19.01.2013
Manchester City - Fulham,2:0,1.29,6.7,15.4,19.01.2013
Newcastle Utd - Reading,1:2,1.8,4.05,5.95,19.01.2013
Swansea - Stoke City,3:1,2.29,3.35,3.9,19.01.2013
West Brom - Aston Villa,2:2,1.93,3.75,5,19.01.2013
West Ham - QPR,1:1,2.15,3.6,3.93,19.01.2013
Wigan - Sunderland,2:3,2.2,3.4,3.93,19.01.2013
17. Round,,1,X,2,
Chelsea - Southampton,2:2,1.25,7.6,16,16.01.2013
22. Round,,1,X,2,
Arsenal - Manchester City,0:2,2.9,3.45,2.75,13.01.2013
Manchester United - Liverpool,2:1,2.08,3.64,4.3,13.01.2013
Aston Villa - Southampton,0:1,2.7,3.5,3,12.01.2013
Everton - Swansea,0:0,1.62,4.37,6.5,12.01.2013
Fulham - Wigan,1:1,2.19,3.55,3.9,12.01.2013
Norwich - Newcastle Utd,0:0,2.31,3.6,3.5,12.01.2013
QPR - Tottenham,0:0,5,3.86,1.9,12.01.2013
Reading - West Brom,3:2,3.02,3.5,2.65,12.01.2013
Stoke City - Chelsea,0:4,5.16,3.65,1.95,12.01.2013
Sunderland - West Ham,3:0,2.7,3.3,3.1,12.01.2013
21. Round,,1,X,2,
Chelsea - QPR,0:1,1.3,6.25,15,02.01.2013
Liverpool - Sunderland,3:0,1.45,5.25,9.5,02.01.2013
Newcastle Utd - Everton,1:2,3.82,3.55,2.2,02.01.2013
Manchester City - Stoke City,3:0,1.36,5.4,12.82,01.01.2013
Southampton - Arsenal,1:1,5.5,4.24,1.75,01.01.2013
Swansea - Aston Villa,2:2,1.67,4.09,6,01.01.2013
Tottenham - Reading,3:1,1.36,5.58,11,01.01.2013
West Brom - Fulham,1:2,2,3.7,4.2,01.01.2013
West Ham - Norwich,2:1,2.1,3.54,4.2,01.01.2013
Wigan - Manchester United,0:4,5.8,4.2,1.8,01.01.2013
20. Round,,1,X,2,
Everton - Chelsea,1:2,3.25,3.5,2.6,30.12.2012
QPR - Liverpool,0:3,4.65,4,2,30.12.2012
Arsenal - Newcastle Utd,7:3,1.57,5,8.5,29.12.2012
Aston Villa - Wigan,0:3,2.91,3.4,4,29.12.2012
Fulham - Swansea,1:2,2.29,3.5,4,29.12.2012
Manchester United - West Brom,2:0,1.36,6,11.26,29.12.2012
Norwich - Manchester City,3:4,7.15,4.45,1.62,29.12.2012
Reading - West Ham,1:0,2.92,3.41,2.75,29.12.2012
Stoke City - Southampton,3:3,2,3.51,5,29.12.2012
Sunderland - Tottenham,1:2,3.65,3.4,2.29,29.12.2012
19. Round,,1,X,2,
Aston Villa - Tottenham,0:4,4.38,3.7,2.1,26.12.2012
Everton - Wigan,2:1,1.67,4.33,8.5,26.12.2012
Fulham - Southampton,1:1,2,3.65,4.5,26.12.2012
Manchester United - Newcastle Utd,4:3,1.3,6.4,13,26.12.2012
Norwich - Chelsea,0:1,6,4.2,1.73,26.12.2012
QPR - West Brom,1:2,2.5,3.6,3.2,26.12.2012
Reading - Swansea,0:0,3.05,3.49,2.65,26.12.2012
Stoke City - Liverpool,3:1,4,3.36,2.25,26.12.2012
Sunderland - Manchester City,1:0,7.25,4.42,1.57,26.12.2012
18. Round,,1,X,2,
Chelsea - Aston Villa,8:0,1.37,5.6,10,23.12.2012
Swansea - Manchester United,1:1,5.5,4,1.8,23.12.2012
Liverpool - Fulham,4:0,1.57,4.8,8.41,22.12.2012
Manchester City - Reading,1:0,1.14,10.74,24.11,22.12.2012
Newcastle Utd - QPR,1:0,2.2,3.5,3.9,22.12.2012
Southampton - Sunderland,0:1,2.18,3.55,4,22.12.2012
Tottenham - Stoke City,0:0,1.67,3.85,6.92,22.12.2012
West Brom - Norwich,2:1,2.1,3.5,4.05,22.12.2012
West Ham - Everton,1:2,3.1,3.35,2.63,22.12.2012
Wigan - Arsenal,0:1,5,4,1.83,22.12.2012
17. Round,,1,X,2,
Reading - Arsenal,2:5,6,4.33,1.65,17.12.2012
Tottenham - Swansea,1:0,1.73,4,5.55,16.12.2012
West Brom - West Ham,0:0,2.1,3.55,4.01,16.12.2012
Liverpool - Aston Villa,1:3,1.4,5.36,10.26,15.12.2012
Manchester United - Sunderland,3:1,1.22,7.72,15.9,15.12.2012
Newcastle Utd - Manchester City,1:3,5.92,4.2,1.67,15.12.2012
Norwich - Wigan,2:1,2.38,3.57,3.35,15.12.2012
QPR - Fulham,2:1,2.7,3.45,2.88,15.12.2012
Stoke City - Everton,1:1,3.47,3.3,2.5,15.12.2012
2. Round,,1,X,2,
Sunderland - Reading,3:0,2,3.7,4.59,11.12.2012
16. Round,,1,X,2,
Fulham - Newcastle Utd,2:1,2.1,3.67,3.9,10.12.2012
Everton - Tottenham,2:1,2,3.82,4.3,09.12.2012
Manchester City - Manchester United,2:3,2.29,3.5,3.96,09.12.2012
