38. Round,,1,X,2,
Arsenal - Stoke City,4:1,1.36,5.8,12.25,24.05.2009
Aston Villa - Newcastle Utd,1:0,2.1,3.75,4.04,24.05.2009
Blackburn - West Brom,0:0,1.95,3.79,4.4,24.05.2009
Fulham - Everton,0:2,2.45,3.4,3.7,24.05.2009
Hull City - Manchester United,0:1,2.7,3.45,3.01,24.05.2009
Liverpool - Tottenham,3:1,1.53,4.7,8.69,24.05.2009
Manchester City - Bolton,1:0,1.8,3.84,5.15,24.05.2009
Sunderland - Chelsea,2:3,5.75,3.75,1.8,24.05.2009
West Ham - Middlesbrough,2:1,2.2,3.63,3.85,24.05.2009
Wigan - Portsmouth,1:0,2.2,3.72,4.65,24.05.2009
37. Round,,1,X,2,
Portsmouth - Sunderland,3:1,2.54,3.25,3.25,18.05.2009
Chelsea - Blackburn,2:0,1.37,5.9,15.25,17.05.2009
West Brom - Liverpool,0:2,7.5,5.2,1.48,17.05.2009
Bolton - Hull City,1:1,2.25,3.5,3.8,16.05.2009
Everton - West Ham,3:1,1.75,3.85,6.2,16.05.2009
Manchester United - Arsenal,0:0,1.6,4.21,7.3,16.05.2009
Middlesbrough - Aston Villa,1:1,2.6,3.65,2.82,16.05.2009
Newcastle Utd - Fulham,0:1,2.04,3.58,4.13,16.05.2009
Stoke City - Wigan,2:0,2.27,3.35,3.52,16.05.2009
Tottenham - Manchester City,2:1,1.85,3.6,5.43,16.05.2009
33. Round,,1,X,2,
Wigan - Manchester United,1:2,13.3,5.6,1.33,13.05.2009
36. Round,,1,X,2,
Newcastle Utd - Middlesbrough,3:1,2.08,3.56,4,11.05.2009
Arsenal - Chelsea,1:4,2.95,3.37,2.8,10.05.2009
Manchester United - Manchester City,2:0,1.36,5.55,11,10.05.2009
Blackburn - Portsmouth,2:0,2.2,3.4,4.2,09.05.2009
Bolton - Sunderland,0:0,2.15,3.4,4.09,09.05.2009
Everton - Tottenham,0:0,2.29,3.5,3.58,09.05.2009
Fulham - Aston Villa,3:1,2.85,3.3,2.8,09.05.2009
Hull City - Stoke City,1:2,2.21,3.4,4,09.05.2009
West Brom - Wigan,3:1,2.52,3.41,3.2,09.05.2009
