38. Round,,1,X,2,
Aston Villa - Liverpool,1:0,3.6,3.58,2.21,22.05.2011
Bolton - Manchester City,0:2,5.3,3.85,1.8,22.05.2011
Everton - Chelsea,1:0,3.33,3.45,2.4,22.05.2011
Fulham - Arsenal,2:2,4.15,3.78,2,22.05.2011
Manchester United - Blackpool,4:2,1.55,5.25,7.5,22.05.2011
Newcastle Utd - West Brom,3:3,2.15,3.6,3.92,22.05.2011
Stoke City - Wigan,0:1,2.25,3.6,3.85,22.05.2011
Tottenham - Birmingham,2:1,1.6,4.2,6.7,22.05.2011
West Ham - Sunderland,0:3,2,3.81,4.04,22.05.2011
Wolves - Blackburn,2:3,2.5,3.1,3.75,22.05.2011
37. Round,,1,X,2,
Manchester City - Stoke City,3:0,1.45,4.84,9.3,17.05.2011
Arsenal - Aston Villa,1:2,1.44,5.09,9,15.05.2011
Birmingham - Fulham,0:2,2.29,3.45,3.7,15.05.2011
Chelsea - Newcastle Utd,2:2,1.25,6.8,16.5,15.05.2011
Liverpool - Tottenham,0:2,1.7,4.08,6.2,15.05.2011
Wigan - West Ham,3:2,1.95,4,4.38,15.05.2011
Blackburn - Manchester United,1:1,7.55,3.6,1.75,14.05.2011
Blackpool - Bolton,4:3,2.15,3.7,3.7,14.05.2011
Sunderland - Wolves,1:3,3.15,3.35,2.62,14.05.2011
West Brom - Everton,1:0,2.75,3.4,2.76,14.05.2011
33. Round,,1,X,2,
Manchester City - Tottenham,1:0,2.04,3.5,4.5,10.05.2011
36. Round,,1,X,2,
Fulham - Liverpool,2:5,2.95,3.3,2.81,09.05.2011
Manchester United - Chelsea,2:1,2.43,3.3,3.5,08.05.2011
Stoke City - Arsenal,3:1,4.55,3.5,2,08.05.2011
Wolves - West Brom,3:1,2.48,3.4,3.45,08.05.2011
Aston Villa - Wigan,1:1,1.85,3.92,5.35,07.05.2011
Bolton - Sunderland,1:2,1.8,3.7,5.8,07.05.2011
Everton - Manchester City,2:1,2.75,3.3,3.2,07.05.2011
Newcastle Utd - Birmingham,2:1,2,3.5,5.2,07.05.2011
Tottenham - Blackpool,1:1,1.34,6,10,07.05.2011
West Ham - Blackburn,1:1,2.19,3.5,3.8,07.05.2011
35. Round,,1,X,2,
Arsenal - Manchester United,1:0,2.88,3.35,2.87,01.05.2011
Birmingham - Wolves,1:1,2.31,3.4,3.85,01.05.2011
Liverpool - Newcastle Utd,3:0,1.52,4.55,8.05,01.05.2011
Manchester City - West Ham,2:1,1.4,5.22,10,01.05.2011
Blackburn - Bolton,1:0,1.95,3.63,4.5,30.04.2011
Blackpool - Stoke City,0:0,2.75,3.73,2.75,30.04.2011
Chelsea - Tottenham,2:1,1.53,4.58,7.5,30.04.2011
Sunderland - Fulham,0:3,2.9,3.25,2.8,30.04.2011
West Brom - Aston Villa,2:1,2.64,3.32,3.1,30.04.2011
Wigan - Everton,1:1,3.5,3.3,2.5,30.04.2011
33. Round,,1,X,2,
Fulham - Bolton,3:0,1.83,3.8,5.15,27.04.2011
Stoke City - Wolves,3:0,1.85,3.8,5.5,26.04.2011
34. Round,,1,X,2,
Blackburn - Manchester City,0:1,4.4,3.71,2,25.04.2011
Bolton - Arsenal,2:1,6,4.4,1.7,24.04.2011
Aston Villa - Stoke City,1:1,2.21,3.35,4,23.04.2011
Blackpool - Newcastle Utd,1:1,2.95,3.5,2.61,23.04.2011
Chelsea - West Ham,3:0,1.25,7.55,17.5,23.04.2011
Liverpool - Birmingham,5:0,1.53,4.25,8.3,23.04.2011
Manchester United - Everton,1:0,1.58,4.2,8,23.04.2011
Sunderland - Wigan,4:2,2.2,3.3,4,23.04.2011
Tottenham - West Brom,2:2,1.6,4.45,7,23.04.2011
Wolves - Fulham,1:1,2.62,3.3,3.2,23.04.2011
28. Round,,1,X,2,
Chelsea - Birmingham,3:1,1.22,7,19.5,20.04.2011
Tottenham - Arsenal,3:3,3.06,3.4,2.58,20.04.2011
33. Round,,1,X,2,
Newcastle Utd - Manchester United,0:0,6.2,3.8,1.7,19.04.2011
Arsenal - Liverpool,1:1,1.8,4.15,5.31,17.04.2011
Birmingham - Sunderland,2:0,2.1,3.38,4.11,16.04.2011
Blackpool - Wigan,1:3,2.5,3.51,3.11,16.04.2011
Everton - Blackburn,2:0,1.79,3.75,6,16.04.2011
West Brom - Chelsea,1:3,6,3.89,1.75,16.04.2011
West Ham - Aston Villa,1:2,2.56,3.46,3.2,16.04.2011
32. Round,,1,X,2,
Liverpool - Manchester City,3:0,2.66,3.45,2.96,11.04.2011
Aston Villa - Newcastle Utd,1:0,1.75,4.2,5.5,10.04.2011
Blackpool - Arsenal,1:3,7.7,4.75,1.5,10.04.2011
Blackburn - Birmingham,1:1,2.04,3.48,4.33,09.04.2011
Bolton - West Ham,3:0,2.52,3.3,3.3,09.04.2011
Chelsea - Wigan,1:0,1.25,6.7,19,09.04.2011
Manchester United - Fulham,2:0,1.5,4.34,9.19,09.04.2011
Sunderland - West Brom,2:3,2.29,3.46,3.5,09.04.2011
Tottenham - Stoke City,3:2,1.7,4.2,6,09.04.2011
Wolves - Everton,0:3,2.5,3.37,3.15,09.04.2011
31. Round,,1,X,2,
Fulham - Blackpool,3:0,1.55,4.79,7.5,03.04.2011
Manchester City - Sunderland,5:0,1.5,4.54,8.19,03.04.2011
Arsenal - Blackburn,0:0,1.25,6.75,16.5,02.04.2011
Birmingham - Bolton,2:1,2.5,3.35,3.35,02.04.2011
Everton - Aston Villa,2:2,2.2,3.5,4.33,02.04.2011
Newcastle Utd - Wolves,4:1,2.11,3.51,4,02.04.2011
Stoke City - Chelsea,1:1,6,3.75,1.75,02.04.2011
West Brom - Liverpool,2:1,3.5,3.43,2.38,02.04.2011
West Ham - Manchester United,2:4,4.4,3.5,2.14,02.04.2011
Wigan - Tottenham,0:0,3.57,3.45,2.4,02.04.2011
30. Round,,1,X,2,
Chelsea - Manchester City,2:0,1.72,4.11,6.02,20.03.2011
Sunderland - Liverpool,0:2,3,3.4,2.75,20.03.2011
Aston Villa - Wolves,0:1,2.08,3.5,4.5,19.03.2011
Blackburn - Blackpool,2:2,1.85,4,5.2,19.03.2011
Everton - Fulham,2:1,2.08,3.4,4.2,19.03.2011
Manchester United - Bolton,1:0,1.44,4.84,9.8,19.03.2011
Stoke City - Newcastle Utd,4:0,2.27,3.3,3.75,19.03.2011
Tottenham - West Ham,0:0,1.7,3.96,6,19.03.2011
West Brom - Arsenal,2:2,4.5,3.6,1.94,19.03.2011
Wigan - Birmingham,2:1,2.29,3.45,3.65,19.03.2011
19. Round,,1,X,2,
Everton - Birmingham,1:1,1.65,4.2,7.4,09.03.2011
29. Round,,1,X,2,
Blackpool - Chelsea,1:3,11.83,6.18,1.35,07.03.2011
Liverpool - Manchester United,3:1,3.1,3.3,2.64,06.03.2011
