29. Round,,1,X,2,
HJK - PK-35 Vantaa,2:0,1.21,6.09,11.96,24.08.2016
4. Round,,1,X,2,
Ilves - Rovaniemi,1:1,2.74,3.05,2.62,24.08.2016
23. Round,,1,X,2,
KuPS - PK-35 Vantaa,3:0,1.5,4.08,6.13,21.08.2016
Lahti - Inter Turku,1:2,2.11,3.24,3.4,21.08.2016
Mariehamn - HIFK,1:0,1.79,3.41,4.46,21.08.2016
VPS - HJK,0:0,3.35,3.16,2.17,21.08.2016
PS Kemi - Rovaniemi,3:1,2.95,3.14,2.38,20.08.2016
SJK - Ilves,4:0,1.63,3.61,5.43,20.08.2016
22. Round,,1,X,2,
HJK - KuPS,2:3,1.47,4.04,6.7,15.08.2016
VPS - Mariehamn,0:2,2.23,3.05,3.36,14.08.2016
Ilves - HIFK,3:1,2.12,3.19,3.44,13.08.2016
PK-35 Vantaa - Lahti,1:1,3.26,3.44,2.1,13.08.2016
PS Kemi - Inter Turku,3:1,2.77,3.11,2.55,13.08.2016
SJK - Rovaniemi,3:1,1.97,3.27,3.81,13.08.2016
21. Round,,1,X,2,
HIFK - HJK,0:0,4.81,3.85,1.64,10.08.2016
Inter Turku - PK-35 Vantaa,2:2,1.47,4.2,6.37,10.08.2016
KuPS - Mariehamn,1:0,2.42,3.04,3,10.08.2016
Lahti - Ilves,3:2,2.15,3.14,3.44,10.08.2016
Rovaniemi - PS Kemi,5:0,1.67,3.55,5.11,10.08.2016
VPS - SJK,2:1,2.88,2.97,2.55,10.08.2016
20. Round,,1,X,2,
HJK - Lahti,2:2,1.51,3.94,6.3,07.08.2016
Mariehamn - HIFK,2:5,1.67,3.49,5.24,07.08.2016
Rovaniemi - VPS,2:0,2.13,3.05,3.59,07.08.2016
Ilves - Inter Turku,0:0,2.33,3.15,3.06,06.08.2016
PS Kemi - PK-35 Vantaa,2:1,1.76,3.53,4.53,06.08.2016
SJK - KuPS,1:0,1.75,3.45,4.69,06.08.2016
19. Round,,1,X,2,
PK-35 Vantaa - Ilves,1:1,2.82,3.21,2.44,02.08.2016
Inter Turku - HJK,0:0,3.65,3.32,2,31.07.2016
KuPS - Rovaniemi,1:1,2.74,3.07,2.6,31.07.2016
Lahti - Mariehamn,1:1,2.75,3.02,2.62,31.07.2016
HIFK - SJK,1:1,3.92,3.3,1.92,30.07.2016
PS Kemi - VPS,0:0,2.72,3.01,2.65,30.07.2016
18. Round,,1,X,2,
Mariehamn - Inter Turku,0:0,1.57,3.8,5.73,25.07.2016
VPS - KuPS,3:0,2.24,3.03,3.36,25.07.2016
HJK - PK-35 Vantaa,4:2,1.38,4.71,7.35,24.07.2016
Ilves - PS Kemi,1:1,1.84,3.33,4.27,24.07.2016
Rovaniemi - HIFK,1:0,1.67,3.52,5.12,24.07.2016
SJK - Lahti,4:1,1.77,3.41,4.58,23.07.2016
16. Round,,1,X,2,
HIFK - VPS,0:1,2.76,3.07,2.58,18.07.2016
Ilves - HJK,1:0,3.31,3.08,2.23,17.07.2016
Lahti - Rovaniemi,1:2,2.29,3.12,3.14,17.07.2016
PK-35 Vantaa - Mariehamn,0:2,2.81,3.19,2.46,17.07.2016
PS Kemi - KuPS,0:2,2.45,3.11,2.89,16.07.2016
15. Round,,1,X,2,
VPS - PK-35 Vantaa,2:1,1.86,3.37,4.09,13.07.2016
17. Round,,1,X,2,
HJK - PS Kemi,2:0,1.36,4.51,8.24,10.07.2016
KuPS - HIFK,1:0,1.96,3.28,3.83,10.07.2016
Mariehamn - Ilves,3:1,1.93,3.15,4.16,10.07.2016
Rovaniemi - Inter Turku,2:1,1.78,3.38,4.58,10.07.2016
SJK - PK-35 Vantaa,3:2,1.64,3.72,5.1,08.07.2016
VPS - Lahti,1:0,2.16,3.13,3.4,08.07.2016
1. Round,,1,X,2,
Inter Turku - VPS,0:2,2.33,3.07,3.12,04.07.2016
Lahti - KuPS,0:0,2.11,3.19,3.47,03.07.2016
PS Kemi - HIFK,1:2,2.14,3.26,3.3,03.07.2016
Ilves - SJK,2:1,3.48,3.03,2.18,02.07.2016
3. Round,,1,X,2,
Lahti - PS Kemi,1:0,1.96,3.37,3.72,29.06.2016
16. Round,,1,X,2,
Inter Turku - SJK,1:3,3.68,3.23,2.02,28.06.2016
3. Round,,1,X,2,
VPS - Ilves,2:0,2.39,2.91,3.18,28.06.2016
11. Round,,1,X,2,
PS Kemi - Rovaniemi,0:2,2.73,3.02,2.65,23.06.2016
15. Round,,1,X,2,
KuPS - Inter Turku,2:1,2.07,3.18,3.58,19.06.2016
Mariehamn - PS Kemi,2:0,1.82,3.34,4.38,19.06.2016
HIFK - Lahti,2:2,2.67,3.11,2.63,18.06.2016
Rovaniemi - Ilves,1:0,2.05,3.17,3.66,18.06.2016
SJK - HJK,2:3,2.63,3.04,2.72,18.06.2016
14. Round,,1,X,2,
HJK - Rovaniemi,1:1,1.55,3.82,5.96,12.06.2016
Ilves - VPS,1:0,2.09,3.16,3.57,12.06.2016
Inter Turku - HIFK,1:0,2.28,3.21,3.05,12.06.2016
Mariehamn - SJK,1:0,2.63,2.95,2.8,12.06.2016
PK-35 Vantaa - KuPS,1:1,2.15,3.23,3.25,12.06.2016
PS Kemi - Lahti,2:1,2.44,3.08,2.92,12.06.2016
13. Round,,1,X,2,
HIFK - PK-35 Vantaa,1:2,2.16,3.32,3.2,09.06.2016
Ilves - KuPS,1:0,2.21,3.13,3.28,09.06.2016
Lahti - Inter Turku,1:0,1.69,3.6,4.84,09.06.2016
Rovaniemi - Mariehamn,0:0,2,3.27,3.71,09.06.2016
SJK - PS Kemi,1:0,1.66,3.51,5.27,09.06.2016
VPS - HJK,3:0,3.86,3.27,1.96,09.06.2016
12. Round,,1,X,2,
HIFK - Ilves,0:1,2.28,3.23,3.05,29.05.2016
KuPS - HJK,0:0,3.43,3.25,2.1,29.05.2016
