33. Round,,1,X,2,
Honka - Inter Turku,3:0,2.75,3.56,3.1,27.10.2012
JJK Jyvaskyla - HJK,3:6,5.5,4.57,1.67,27.10.2012
Lahti - KuPS,2:1,2,3.8,4.03,27.10.2012
Mariehamn - MyPa,2:2,2.04,3.75,3.8,27.10.2012
TPS - Jaro,1:2,2.15,3.92,3.6,27.10.2012
VPS - Haka,0:1,2.8,3.45,2.72,27.10.2012
32. Round,,1,X,2,
Haka - Honka,1:0,2.29,3.92,3.3,22.10.2012
HJK - Lahti,2:0,1.29,6,12,22.10.2012
Inter Turku - TPS,0:0,2.5,3.62,3,22.10.2012
Jaro - Mariehamn,3:3,2.63,3.59,2.75,22.10.2012
KuPS - VPS,2:1,2.25,3.58,3.56,22.10.2012
MyPa - JJK Jyvaskyla,2:1,2,3.86,4,22.10.2012
31. Round,,1,X,2,
Haka - Inter Turku,1:2,4.5,4.25,1.81,19.10.2012
Honka - KuPS,2:1,2,3.73,4,19.10.2012
JJK Jyvaskyla - Jaro,4:2,2.2,3.69,3.54,19.10.2012
Lahti - MyPa,3:1,2.64,3.4,3.25,19.10.2012
Mariehamn - TPS,1:0,2.95,3.51,2.54,19.10.2012
VPS - HJK,1:3,5.25,3.94,1.83,19.10.2012
30. Round,,1,X,2,
HJK - Honka,1:0,1.52,4.75,8,08.10.2012
Inter Turku - Mariehamn,1:0,1.8,4.05,5,08.10.2012
Jaro - Lahti,2:1,2.46,3.52,3.15,07.10.2012
KuPS - Haka,1:1,1.95,3.82,4.13,07.10.2012
MyPa - VPS,1:1,2.25,3.56,3.8,07.10.2012
TPS - JJK Jyvaskyla,1:0,1.55,4.86,6.05,07.10.2012
29. Round,,1,X,2,
Honka - MyPa,1:1,2.29,3.58,3.35,04.10.2012
Inter Turku - KuPS,1:4,1.35,6.19,11.5,03.10.2012
Haka - HJK,2:2,7.7,4.76,1.5,01.10.2012
JJK Jyvaskyla - Mariehamn,3:2,2.6,3.66,2.89,01.10.2012
