33. Round,,1,X,2,
HJK - Haka,5:2,1.23,6.8,14.51,29.10.2011
Inter Turku - JJK Jyvaskyla,2:1,2.22,3.51,3.75,29.10.2011
Jaro - MyPa,2:4,2.4,3.66,3.16,29.10.2011
KuPS - TPS,2:0,2.5,3.64,3.01,29.10.2011
Mariehamn - Honka,1:1,5.25,4.2,1.73,29.10.2011
VPS - Rovaniemi,2:1,1.45,5.44,8.5,29.10.2011
32. Round,,1,X,2,
Haka - KuPS,2:1,2.92,3.56,2.65,26.10.2011
Honka - Jaro,1:1,1.33,6.28,11.5,26.10.2011
JJK Jyvaskyla - Mariehamn,2:0,1.57,4.43,6.75,26.10.2011
MyPa - VPS,2:3,2.1,3.49,3.95,26.10.2011
Rovaniemi - HJK,1:4,8.5,5.18,1.4,26.10.2011
TPS - Inter Turku,1:1,2.91,3.64,2.6,26.10.2011
31. Round,,1,X,2,
Haka - TPS,0:1,3.52,3.74,2.2,22.10.2011
HJK - MyPa,4:1,1.29,6.5,13,22.10.2011
Jaro - JJK Jyvaskyla,2:3,3.6,3.77,2.19,22.10.2011
KuPS - Rovaniemi,1:0,1.51,5.09,6.5,22.10.2011
Mariehamn - Inter Turku,1:0,3.5,3.8,2.12,22.10.2011
VPS - Honka,0:1,5,3.79,1.8,22.10.2011
30. Round,,1,X,2,
Inter Turku - Haka,1:1,1.32,5.79,11.53,17.10.2011
Mariehamn - Jaro,5:2,2.29,3.5,3.35,17.10.2011
MyPa - KuPS,1:0,2.61,3.6,2.88,17.10.2011
Honka - HJK,1:1,3.16,3.65,2.4,16.10.2011
JJK Jyvaskyla - VPS,1:2,1.6,4.33,7,16.10.2011
Rovaniemi - TPS,3:1,6,4.51,1.62,16.10.2011
29. Round,,1,X,2,
Jaro - Inter Turku,3:2,4.2,3.8,2.04,14.10.2011
Haka - Rovaniemi,0:1,1.45,5.28,7.04,13.10.2011
HJK - JJK Jyvaskyla,0:0,1.5,4.8,7.75,13.10.2011
KuPS - Honka,1:4,2.9,3.71,2.54,13.10.2011
TPS - MyPa,1:1,1.53,4.55,6.8,13.10.2011
VPS - Mariehamn,1:1,2.29,3.47,3.47,13.10.2011
28. Round,,1,X,2,
Inter Turku - Rovaniemi,6:2,1.14,10,21,03.10.2011
MyPa - Haka,2:0,2.1,3.94,3.8,03.10.2011
Honka - TPS,1:1,2,3.82,4.34,02.10.2011
Jaro - VPS,0:1,2.02,3.7,4.05,02.10.2011
JJK Jyvaskyla - KuPS,1:2,1.87,4.05,4.5,02.10.2011
Mariehamn - HJK,0:2,7.52,4.75,1.6,02.10.2011
27. Round,,1,X,2,
Haka - Honka,0:4,4.7,4.09,1.8,28.09.2011
HJK - Jaro,6:0,1.31,5.95,12,28.09.2011
KuPS - Mariehamn,2:1,2.13,3.7,3.8,28.09.2011
TPS - JJK Jyvaskyla,2:2,2.1,3.87,3.6,28.09.2011
Rovaniemi - MyPa,2:1,3.5,3.5,2.38,26.09.2011
VPS - Inter Turku,0:0,5.4,4.09,1.71,26.09.2011
26. Round,,1,X,2,
JJK Jyvaskyla - Haka,2:1,1.65,4.32,5.5,25.09.2011
Mariehamn - TPS,0:3,2.95,3.61,2.47,22.09.2011
HJK - VPS,2:0,1.2,7.15,19.01,21.09.2011
Honka - Rovaniemi,5:2,1.2,7,17,21.09.2011
Jaro - KuPS,1:1,1.7,4,5.7,21.09.2011
MyPa - Inter Turku,2:3,4.5,3.96,1.88,21.09.2011
25. Round,,1,X,2,
Haka - Mariehamn,1:1,2.5,3.63,2.93,19.09.2011
Honka - MyPa,2:0,1.62,4.3,6.59,18.09.2011
Inter Turku - HJK,1:1,4.42,3.71,2.1,18.09.2011
KuPS - VPS,4:2,2.15,3.52,3.99,18.09.2011
Rovaniemi - JJK Jyvaskyla,3:3,6.5,4.58,1.6,18.09.2011
TPS - Jaro,2:1,1.91,4.03,4.2,16.09.2011
24. Round,,1,X,2,
HJK - KuPS,1:0,1.22,7.67,22,12.09.2011
Inter Turku - Honka,2:2,2.24,3.6,3.6,12.09.2011
Jaro - Haka,1:1,2.17,3.73,3.85,11.09.2011
JJK Jyvaskyla - MyPa,4:0,2,3.68,4.75,11.09.2011
Mariehamn - Rovaniemi,5:2,1.4,5.09,10,11.09.2011
VPS - TPS,3:2,3.5,3.45,2.38,11.09.2011
23. Round,,1,X,2,
KuPS - Inter Turku,2:1,4.5,4.11,1.92,09.09.2011
Honka - JJK Jyvaskyla,2:2,1.91,4.03,4.54,08.09.2011
MyPa - Mariehamn,0:1,2.06,3.73,3.95,08.09.2011
Rovaniemi - Jaro,0:2,3.94,4.25,2,08.09.2011
TPS - HJK,2:1,4.9,4.15,1.75,08.09.2011
VPS - Haka,1:2,2.35,3.5,3.45,08.09.2011
22. Round,,1,X,2,
Haka - HJK,1:3,9.64,5.4,1.45,29.08.2011
MyPa - Jaro,2:1,2.31,3.57,3.25,29.08.2011
Honka - Mariehamn,2:0,1.67,4.61,6.17,28.08.2011
Rovaniemi - VPS,0:0,3.1,3.42,2.69,28.08.2011
JJK Jyvaskyla - Inter Turku,1:0,3.3,3.6,2.38,27.08.2011
TPS - KuPS,5:0,1.74,4.15,5.25,26.08.2011
21. Round,,1,X,2,
Inter Turku - TPS,0:0,2.04,3.75,4.5,22.08.2011
Jaro - Honka,2:2,3.2,3.72,2.25,22.08.2011
HJK - Rovaniemi,5:0,1.17,9.02,27,21.08.2011
Mariehamn - JJK Jyvaskyla,2:2,2.43,3.58,3,21.08.2011
VPS - MyPa,1:2,2.43,3.3,3.29,21.08.2011
KuPS - Haka,1:2,1.91,3.8,4.33,19.08.2011
20. Round,,1,X,2,
Honka - VPS,1:1,1.54,4.28,7.06,15.08.2011
Inter Turku - Mariehamn,2:0,1.58,4.42,7.15,15.08.2011
JJK Jyvaskyla - Jaro,3:3,1.97,3.8,4.8,15.08.2011
